"","DATE","GDP","cpi","bond_yield","int_Rate","unemply_claims","avg_hours_worked","housing_permits","population_perc_change","unemployment_rate","perc_ch_GDP"
"37",1996-04-01,11005.217,3.050979563,6.72,1.43375,355461.538461538,6.7,1449.66666666667,0.28456,5.5,1.66788
"38",1996-07-01,11103.935,3.09202919,6.78,1.43859375,335788.461538462,1.8,1418.33333333333,0.32572,5.26666666666667,0.89701
"39",1996-10-01,11219.238,3.005859267,6.34333333333333,1.03467741935484,341750,0.8,1393.66666666667,0.3196,5.33333333333333,1.0384
"40",1997-01-01,11291.665,2.86959772266667,6.56333333333333,1.28216666666667,329673.076923077,1.6,1421,0.26471,5.23333333333333,0.64556
"41",1997-04-01,11479.33,2.88320942666667,6.69666666666667,1.1440625,325134.615384615,-0.8,1412.33333333333,0.28646,5,1.66198
"42",1997-07-01,11622.911,2.663955071,6.24333333333333,0.67453125,323192.307692308,0.7,1461,0.33151,4.86666666666667,1.25078
"43",1997-10-01,11722.722,2.611785957,5.90666666666667,0.361129032258064,313673.076923077,0.6,1474.66666666667,0.31274,4.66666666666667,0.85874
"44",1998-01-01,11839.876,2.690487206,5.58666666666667,0.0711475409836066,317750,-0.4,1602.33333333333,0.25683,4.63333333333333,0.99938
"45",1998-04-01,11949.492,2.627480987,5.59666666666667,0.0796825396825397,314576.923076923,-2.8,1550.66666666667,0.27399,4.4,0.92582
"46",1998-07-01,12099.191,2.62016463566667,5.20333333333333,-0.351875,322980.769230769,-1.2,1613.66666666667,0.31205,4.53333333333333,1.25276
"47",1998-10-01,12294.737,2.50732978966667,4.67,-0.218709677419355,311788.461538462,2,1711,0.3024,4.43333333333333,1.61619
"48",1999-01-01,12410.778,2.32035076666667,4.98333333333333,0.234590163934426,313211.538461538,-0.8,1705.66666666667,0.25354,4.3,0.94383
"49",1999-04-01,12514.408,2.1598809,5.54,0.78421875,302634.615384615,0.1,1647.33333333333,0.2734,4.26666666666667,0.835
"50",1999-07-01,12679.977,2.10505296666667,5.88333333333333,0.76046875,292884.615384615,1.3,1634.66666666667,0.3182,4.23333333333333,1.32303
"51",1999-10-01,12888.281,2.13604306666667,6.14,0.834193548387097,286211.538461538,-1,1668,0.30074,4.06666666666667,1.64278
"52",2000-01-01,12935.252,2.41474826666667,6.48,0.736507936507936,286269.230769231,-0.1,1690,0.25375,4.03333333333333,0.36445
"53",2000-04-01,13170.749,2.57123876666667,6.17666666666667,-0.106031746031746,278307.692307692,-1.1,1570.66666666667,0.24801,3.93333333333333,1.82058
"54",2000-07-01,13183.89,2.8393939,5.89333333333333,-0.621587301587302,301875,0.4,1554.66666666667,0.27187,4,0.09977
"55",2000-10-01,13262.25,2.9321634,5.56666666666667,-0.929032258064516,321269.230769231,-4.9,1578,0.26523,3.9,0.59436
"56",2001-01-01,13219.251,2.95005363333333,5.05,-0.56758064516129,364461.538461538,-2.1,1671.33333333333,0.22926,4.23333333333333,-0.32422
"57",2001-04-01,13301.394,3.1323022,5.27,0.956190476190476,395750,-1.8,1652.33333333333,0.23531,4.4,0.62139
"58",2001-07-01,13248.142,3.29385776666667,4.98,1.50918032786885,402346.153846154,0.2,1592.66666666667,0.2619,4.83333333333333,-0.40035
"59",2001-10-01,13284.881,3.56038916666667,4.77,2.60870967741935,453000,-2.4,1632.33333333333,0.25492,5.5,0.27731
"60",2002-01-01,13394.91,3.52912216666667,5.07666666666667,3.33816666666667,404865.384615385,0.7,1714.33333333333,0.21783,5.7,0.82823
"61",2002-04-01,13477.356,3.39732956666667,5.1,3.34953125,413173.076923077,4,1714.33333333333,0.2227,5.83333333333333,0.6155
"62",2002-07-01,13531.741,3.15612013333333,4.26,2.52421875,394019.230769231,-1.5,1745.33333333333,0.25338,5.73333333333333,0.40353
"63",2002-10-01,13549.421,2.86125436666667,4.00666666666667,2.54935483870968,403634.615384615,-0.3,1822,0.24419,5.86666666666667,0.13066
"64",2003-01-01,13619.434,2.70666656666667,3.92,2.66475409836066,410153.846153846,-1.3,1806.33333333333,0.20842,5.86666666666667,0.51672
"65",2003-04-01,13741.107,2.3597466,3.62,2.36666666666667,427769.230769231,0.3,1837.66666666667,0.22225,6.13333333333333,0.89338
"66",2003-07-01,13970.157,2.1956631,4.23333333333333,3.21265625,406288.461538462,-2,1937.33333333333,0.24852,6.13333333333333,1.6669
"67",2003-10-01,14131.379,2.05797313333333,4.28666666666667,3.28564516129032,371134.615384615,5.3,1972.33333333333,0.23897,5.83333333333333,1.15405
"68",2004-01-01,14212.34,2.04864023333333,4.02,3.00677419354839,356076.923076923,2.7,1994.66666666667,0.19451,5.7,0.57292
"69",2004-04-01,14323.017,2.2917045,4.6,3.58354838709677,343057.692307692,-2,2080,0.21854,5.6,0.77874
"70",2004-07-01,14457.832,2.25392753333333,4.30333333333333,2.86203125,341019.230769231,-0.8,2069.66666666667,0.24857,5.43333333333333,0.94125
"71",2004-10-01,14605.595,2.28410613333333,4.17333333333333,2.22370967741935,332500,-1.9,2086,0.24886,5.43333333333333,1.02203
"72",2005-01-01,14767.846,2.2827626,4.29666666666667,1.8283606557377,328461.538461538,-0.1,2105,0.21178,5.3,1.11088
"73",2005-04-01,14839.707,2.26567756666667,4.16,1.2159375,327076.923076923,-2.2,2137.66666666667,0.21393,5.1,0.4866
"74",2005-07-01,14956.291,2.29985383333333,4.21333333333333,0.7528125,331250,1.3,2228.33333333333,0.25441,4.96666666666667,0.78562
"75",2005-10-01,15041.232,2.40866723333333,4.49,0.512131147540984,338160.714285714,4,2169.33333333333,0.25151,4.96666666666667,0.56793
"76",2006-01-01,15244.088,2.51049783333333,4.57,0.109838709677419,297333.333333333,1.4,2157,0.21913,4.73333333333333,1.34867
"77",2006-04-01,15281.525,2.8330273,5.07,0.167301587301587,312326.923076923,2,1923.33333333333,0.22548,4.63333333333333,0.24558
"78",2006-07-01,15304.517,3.17704173333333,4.89666666666667,-0.355873015873016,315714.285714286,0.1,1713.33333333333,0.25871,4.63333333333333,0.15046
"79",2006-10-01,15433.643,3.1878481,4.63,-0.615,320192.307692308,-1.8,1581,0.25603,4.43333333333333,0.84371
"80",2007-01-01,15478.956,3.13876453333333,4.68,-0.582903225806452,318826.923076923,-1.8,1606.66666666667,0.22126,4.5,0.2936
"81",2007-04-01,15577.779,2.7935353,4.84666666666667,-0.4028125,312211.538461538,3.7,1456.66666666667,0.22421,4.5,0.63843
"82",2007-07-01,15671.605,2.49568786666667,4.73,-0.351904761904762,315942.307692308,1,1314.33333333333,0.25856,4.66666666666667,0.60231
"83",2007-10-01,15767.146,2.6241427,4.26,-0.229838709677419,333076.923076923,-1.8,1188.33333333333,0.25359,4.8,0.60964
"84",2008-01-01,15702.906,2.68412403333333,3.66333333333333,0.478524590163934,348269.230769231,-1.1,1025,0.2196,5,-0.40743
"85",2008-04-01,15792.773,2.81884946666667,3.88666666666667,1.79125,368653.846153846,1.5,1061,0.21944,5.33333333333333,0.5723
"86",2008-07-01,15709.562,3.05847953333333,3.86333333333333,1.9046875,421230.769230769,-2.7,858.666666666667,0.24417,6,-0.52689
